,date,cluster,keyword_sum
662,2023-01-20,finance,173935
663,2023-01-20,food & beverages,17359
664,2023-01-20,health care and social assistance,14560
665,2023-01-20,home care & home services,19885
666,2023-01-20,human resources,26681
667,2023-01-20,information technology,57392
668,2023-01-20,insurance,94530
669,2023-01-20,legal,358648
670,2023-01-20,manufacturing,104413
671,2023-01-20,media & social networks,21143
672,2023-01-20,non-profit organizations,5612
673,2023-01-20,public administration,52099
674,2023-01-20,real estate & leasing,8286
675,2023-01-20,sports & activities,31143
676,2023-01-20,telecommunications,40248
677,2023-01-20,transportation,42925
678,2023-01-20,video & photography,26538
679,2023-01-20,"warehousing, storage & delivery",11553
680,2023-01-21,accommodation,32732
681,2023-01-21,"advertising, marketing & research",2396
682,2023-01-21,"agriculture, farm animals & forestry",185
683,2023-01-21,animal care & products for animals,3525
684,2023-01-21,arts & design,3033
685,2023-01-21,automotive,6028
686,2023-01-21,beauty & personal care,11318
687,2023-01-21,construction,97361
688,2023-01-21,consulting,17794
689,2023-01-21,e-commerce & retail trade,1558
690,2023-01-21,education,126382
691,2023-01-21,energy,48314
692,2023-01-21,engineering & architecture,113
693,2023-01-21,entertainment & recreation,3206
694,2023-01-21,event organization,21670
695,2023-01-21,fashion,69391
696,2023-01-21,finance,70787
697,2023-01-21,food & beverages,9015
698,2023-01-21,health care and social assistance,7673
699,2023-01-21,home care & home services,8232
700,2023-01-21,human resources,9281
701,2023-01-21,information technology,25302
702,2023-01-21,insurance,38145
703,2023-01-21,legal,161985
704,2023-01-21,manufacturing,49412
705,2023-01-21,media & social networks,9868
706,2023-01-21,non-profit organizations,2408
707,2023-01-21,public administration,19168
708,2023-01-21,real estate & leasing,5216
709,2023-01-21,sports & activities,14929
710,2023-01-21,telecommunications,19261
711,2023-01-21,transportation,20445
712,2023-01-21,video & photography,12247
713,2023-01-21,"warehousing, storage & delivery",6356
714,2023-01-22,accommodation,38576
715,2023-01-22,"advertising, marketing & research",2342
716,2023-01-22,"agriculture, farm animals & forestry",201
717,2023-01-22,animal care & products for animals,2523
718,2023-01-22,arts & design,2803
719,2023-01-22,automotive,5800
720,2023-01-22,beauty & personal care,12143
721,2023-01-22,construction,109578
722,2023-01-22,consulting,16492
723,2023-01-22,e-commerce & retail trade,1363
724,2023-01-22,education,144249
725,2023-01-22,energy,50127
726,2023-01-22,engineering & architecture,227
727,2023-01-22,entertainment & recreation,3245
728,2023-01-22,event organization,23407
729,2023-01-22,fashion,79891
730,2023-01-22,finance,75219
731,2023-01-22,food & beverages,11109
732,2023-01-22,health care and social assistance,6406
733,2023-01-22,home care & home services,8996
734,2023-01-22,human resources,11042
735,2023-01-22,information technology,26460
736,2023-01-22,insurance,36403
737,2023-01-22,legal,171449
738,2023-01-22,manufacturing,52900
739,2023-01-22,media & social networks,12370
740,2023-01-22,non-profit organizations,2190
741,2023-01-22,public administration,21608
742,2023-01-22,real estate & leasing,4135
743,2023-01-22,sports & activities,15041
744,2023-01-22,telecommunications,20310
745,2023-01-22,transportation,21149
746,2023-01-22,video & photography,16003
747,2023-01-22,"warehousing, storage & delivery",6640
748,2023-01-23,accommodation,92885
749,2023-01-23,"advertising, marketing & research",7252
750,2023-01-23,"agriculture, farm animals & forestry",1403
751,2023-01-23,animal care & products for animals,8719
752,2023-01-23,arts & design,9111
753,2023-01-23,automotive,19430
754,2023-01-23,beauty & personal care,31158
755,2023-01-23,construction,275252
756,2023-01-23,consulting,49595
757,2023-01-23,e-commerce & retail trade,4896
758,2023-01-23,education,351884
759,2023-01-23,energy,124522
760,2023-01-23,engineering & architecture,1019
761,2023-01-23,entertainment & recreation,10773
762,2023-01-23,event organization,65888
763,2023-01-23,fashion,219784
764,2023-01-23,finance,182083
765,2023-01-23,food & beverages,27783
766,2023-01-23,health care and social assistance,20666
767,2023-01-23,home care & home services,24026
768,2023-01-23,human resources,33023
769,2023-01-23,information technology,78693
